S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
71,Mahindra XUV500 W8 4WD,Johannesburg,2035,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,9.65
72,Hyundai i10 Sportz 1.2 AT,Gaborone,2032,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,,3.48
73,Nissan Terrano XV D Pre,Gaborone,2035,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,16.65 River,6.92
74,Honda Brio VX AT,Harare,2036,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,,6.46
75,Audi A6 2.0 TDI Design Edition,Nairobi,2034,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,,29.5
76,Ford Fiesta 1.4 SXi TDCi,Arusha,2028,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5,,2
77,Toyota Innova 2.0 G1,Lilongwe,2026,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,,4.5
78,Toyota Innova 2.5 VX 7 STR BSIV,Dodoma,2032,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,,11.75
79,Hyundai Santro Xing XL,Dodoma,2025,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,,1.3
80,Maruti Swift VDI,Arusha,2032,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,3.75
81,Tata Zest Revotron 1.2T XE,Maputo,2037,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.67 River,4.5
82,Honda Amaze SX i-VTEC,Gaborone,2036,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,,4.82
83,Ford Figo Diesel ZXI,Dodoma,2032,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,,2.8
84,Maruti Ritz VDi,Arusha,2033,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.11
85,Honda City i VTEC E,Nairobi,2029,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,,3.25
86,BMW 5 Series 2003-2012 525d,Nairobi,2031,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,,13.9
87,Hyundai i10 Sportz 1.2,Maputo,2029,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.25
88,Hyundai Grand i10 Sportz,Kigali,2036,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,5.75
89,Hyundai Santro Xing XO,Dodoma,2027,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,,2.1
90,Honda Amaze SX i-VTEC,Johannesburg,2036,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,,5
91,Toyota Fortuner 4x2 Manual,Nairobi,2034,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,,16.5
92,Audi A6 2011-2015 35 TDI Premium,Harare,2038,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,39.58
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Nairobi,2033,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,5.5
94,Mahindra XUV500 W8 2WD,Nairobi,2034,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,8.1
95,Honda Amaze SX i-DTEC,Lusaka,2035,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.5
96,Volkswagen Polo Diesel Highline 1.2L,Lusaka,2033,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.79
97,Hyundai Verna Transform SX VGT CRDi,Durban,2030,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,,3.45
98,Maruti Wagon R VXI BS IV,Kigali,2036,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,4.45
99,Volkswagen Polo Petrol Highline 1.6L,Nairobi,2030,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,,2.65
100,Hyundai i20 1.4 CRDi Sportz,Maputo,2031,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,,3.8
101,Hyundai i20 Asta 1.2,Johannesburg,2034,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,,4.65
102,Datsun GO Plus T Petrol,Maputo,2037,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,6.45 River,3.95
103,Audi A4 3.0 TDI Quattro Premium,Lusaka,2030,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,,9.8
104,Hyundai i20 2015-2017 Asta,Maputo,2029,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,,2.7
105,Maruti Omni 5 Str STD,Harare,2030,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,,2.41
106,Toyota Etios Liva 1.2 G,Durban,2034,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,6.41 River,3.9
107,Jaguar XF 3.0 Litre S Premium Luxury,Dodoma,2031,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,,24
108,Mahindra XUV500 W8 2WD,Nairobi,2032,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,,5.75
109,Hyundai Verna 1.6 SX CRDI (O) AT,Lusaka,2034,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,,5.25
110,Toyota Innova Crysta 2.8 ZX AT,Johannesburg,2037,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,27 River,19.25
111,Maruti Eeco 5 Seater AC,Harare,2037,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,5.13 River,3.91
112,Tata Nano Twist XT,Kigali,2034,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,,2.15
113,BMW 3 Series 320d Luxury Line,Johannesburg,2035,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,54.43 River,20.75
114,Honda Civic 2006-2010 1.8 V MT,Nairobi,2030,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,3.35
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Durban,2034,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,,11.11
116,Volvo V40 Cross Country D3,Kigali,2034,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,,20
117,Nissan Micra XV CVT,Harare,2036,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,9.51 River,6.55
118,BMW 5 Series 2010-2013 525i,Johannesburg,2029,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,,7
119,Maruti Vitara Brezza VDi,Johannesburg,2036,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.96 River,7.5
120,Hyundai Santro Xing XL eRLX Euro III,Johannesburg,2025,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5,,0.85
121,Mercedes-Benz B Class B200 CDI,Maputo,2034,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,,16.75
122,Hyundai Verna CRDi 1.6 SX Option,Lusaka,2038,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.44 River,10.95
123,Maruti Wagon R LXI BS IV,Maputo,2031,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.45
124,Tata Nano XTA,Harare,2037,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.23
125,Mahindra Scorpio VLX,Lusaka,2034,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,,7.75
126,Mercedes-Benz New C-Class 200 K AT,Lusaka,2029,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,,9.35
127,Maruti Wagon R LXI CNG,Maputo,2033,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,,3.25
128,Honda CR-V 2.4 MT,Kigali,2027,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,,5.25
129,Volkswagen Vento 1.5 TDI Comfortline AT,Maputo,2035,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,,7.25
130,Maruti Ciaz VXi Plus,Gaborone,2037,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,7.47
131,Mahindra XUV500 AT W10 FWD,Arusha,2036,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,,13.25
132,Maruti Ritz VXI ABS,Harare,2036,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,,5.81
133,Maruti Alto K10 VXI,Dodoma,2034,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.53 River,2.6
134,Mercedes-Benz SLC 43 AMG,Lusaka,2037,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,95.04 River,54
135,Hyundai Verna VTVT 1.6 AT SX Plus,Gaborone,2039,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,13.49 River,11.5
136,Maruti Alto LXi BSIII,Lilongwe,2030,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,,1.6
137,BMW 1 Series 118d Base,Harare,2035,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,,17.22
138,Honda Jazz 1.2 V CVT i VTEC,Johannesburg,2035,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,,6
139,Honda Civic 2006-2010 1.8 V MT,Nairobi,2032,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,3.95
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Gaborone,2034,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,,17.95
141,Honda Amaze SX i-DTEC,Lusaka,2034,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,3.7
142,Maruti Swift VVT VXI,Gaborone,2036,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,5.43
143,Hyundai Santro Xing XO eRLX Euro II,Gaborone,2028,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5,,1.67
144,Toyota Fortuner 3.0 Diesel,Harare,2032,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,,13.49
145,Chevrolet Beat LT Option,Maputo,2034,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,,2.85
146,Skoda Rapid 1.5 TDI Elegance,Lilongwe,2033,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,,4.75
147,Maruti Ciaz 1.4 Alpha,Gaborone,2038,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,9.9
148,Audi RS5 Coupe,Johannesburg,2033,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,1.28 Lk,37
149,BMW 3 Series Luxury Line,Johannesburg,2034,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,60.88 River,26.5
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Harare,2035,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,,23.32
151,Maruti Swift VDI,Lilongwe,2036,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,6.25
152,Mercedes-Benz S Class 2005 2013 S 500,Lusaka,2030,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5,,30
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Harare,2036,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,9.86
154,Skoda Superb Elegance 2.0 TDI CR AT,Maputo,2032,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5,,8.5
155,Hyundai EON Magna Plus,Gaborone,2039,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,4.23
156,Volkswagen Polo Diesel Trendline 1.2L,Arusha,2032,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.5
157,Datsun GO NXT,Lusaka,2036,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5,,2.5
158,Honda Brio S MT,Lusaka,2033,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,2.39
159,Mercedes-Benz B Class B180,Nairobi,2033,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5,,11.25
160,Honda City i DTEC V,Gaborone,2035,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,7.11
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Durban,2036,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,,10.9
162,Maruti Swift VXI Optional,Durban,2037,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,6.2
163,Mahindra XUV500 W8 2WD,Johannesburg,2032,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,7.9
164,Ford Ecosport 1.5 DV5 MT Ambiente,Gaborone,2034,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,4.42
165,Toyota Fortuner 4x2 Manual,Johannesburg,2032,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,,13.5
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Lilongwe,2033,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,,6.25
167,Ford Figo Diesel Titanium,Arusha,2030,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,,2.1
168,BMW X5 xDrive 30d,Johannesburg,2035,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,,45
169,Mercedes-Benz New C-Class C 220 CDI Style,Harare,2037,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,33.66
170,Honda Brio V MT,Kigali,2032,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,,3.65
171,Hyundai i10 Magna 1.2,Nairobi,2033,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.75
172,Mercedes-Benz GLC 220,Kigali,2036,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,,42.5
173,Hyundai Grand i10 1.2 Kappa Asta,Lusaka,2039,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.39 River,6.5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Johannesburg,2032,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5,,19
175,Volkswagen Vento Petrol Highline AT,Johannesburg,2033,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5,,4.45
176,Mini Countryman Cooper D,Arusha,2037,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5,,23
177,Hyundai i20 Asta 1.4 CRDi,Kigali,2034,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,8.35
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Johannesburg,2034,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,22.95
179,Chevrolet Beat Diesel LT,Arusha,2032,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,1.5
180,Skoda Superb Elegance 1.8 TSI AT,Gaborone,2032,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,,6.89
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Lilongwe,2026,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,,1.45
182,BMW 5 Series 520d Luxury Line,Dodoma,2034,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,69.47 River,33.5
183,Chevrolet Optra Magnum 1.6 LS BS3,Arusha,2027,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,,1.25
184,Volkswagen Polo Diesel Highline 1.2L,Dodoma,2032,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.2
185,Renault Lodgy 110PS RxZ 8 Seater,Johannesburg,2035,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8,,6.75
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Kigali,2034,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,,32
187,Maruti Baleno Alpha,Gaborone,2037,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,8.78 River,7.5
188,Hyundai Verna 1.6 SX,Nairobi,2032,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,4.6
